pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Bulbasaur,1,1,Seed Pokemon,0.7,6.9,Grass,Poison,,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,45,49,49,65,65,45,318
Ivysaur,2,2,Seed Pokemon,1,13,Grass,Poison,1,Level 16,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,60,62,63,80,80,60,405
Venusaur,3,3,Seed Pokemon,2,100,Grass,Poison,2,Level 32,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,80,82,83,100,100,80,525
Venusaur,3,4,Seed Pokemon,2.4,155.5,Grass,Poison,,,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",,,,,80,100,123,122,120,80,625
Venusaur,3,1526,Seed Pokemon,24,0,Grass,Poison,,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,80,82,83,100,100,80,525
Charmander,4,5,Lizard Pokemon,0.6,8.5,Fire,,,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",39,52,43,60,50,65,309
Charmeleon,5,6,Flame Pokemon,1.1,19,Fire,,5,Level 16,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",58,64,58,80,65,80,405
Charizard,6,7,Flame Pokemon,1.7,90.5,Fire,Flying,6,Level 36,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",78,84,78,109,85,100,534
Charizard,6,8,Flame Pokemon,1.7,110.5,Fire,Dragon,,,Tough Claws,Powers up moves that make direct contact.,,,,,78,130,111,130,85,100,634
Charizard,6,9,Flame Pokemon,1.7,100.5,Fire,Flying,,,Drought,Turns the sunlight harsh when the Pokemon enters a battle.,,,,,78,104,78,159,115,100,634
Charizard,6,1522,Flame Pokemon,28,0,Fire,Flying,,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",78,84,78,109,85,100,534
Squirtle,7,10,Tiny Turtle Pokemon,0.5,9,Water,,,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Rain Dish,The Pokemon gradually regains HP in rain.,44,48,65,50,64,43,314
Wartortle,8,11,Turtle Pokemon,1,22.5,Water,,10,Level 16,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Rain Dish,The Pokemon gradually regains HP in rain.,59,63,80,65,80,58,405
Blastoise,9,12,Shellfish Pokemon,1.6,85.5,Water,,11,Level 36,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Rain Dish,The Pokemon gradually regains HP in rain.,79,83,100,85,105,78,530
Blastoise,9,13,Shellfish Pokemon,1.6,101.1,Water,,,,Mega Launcher,Powers up aura and pulse moves.,,,,,79,103,120,135,115,78,630
Blastoise,9,1525,Shellfish Pokemon,25,0,Water,,,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Rain Dish,The Pokemon gradually regains HP in rain.,79,83,100,85,105,78,530
Caterpie,10,32,Worm Pokemon,0.3,2.9,Bug,,,,Shield Dust,This Pokemon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokemon.,45,30,35,20,20,45,195
Metapod,11,23,Cocoon Pokemon,0.7,9.9,Bug,,32,Level 7,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,,,,50,20,55,25,25,30,205
Butterfree,12,24,Butterfly Pokemon,1.1,32,Bug,Flying,23,Level 10,Compound Eyes,The Pokemon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokemon can use ""not very effective"" moves to deal regular damage.",60,45,50,90,80,70,395
Butterfree,12,1521,Butterfly Pokemon,17,0,Bug,Flying,,,Compound Eyes,The Pokemon's compound eyes boost its accuracy.,,,Tinted Lens,"The Pokemon can use ""not very effective"" moves to deal regular damage.",60,45,50,90,80,70,395
Weedle,13,31,Hairy Bug Pokemon,0.3,3.2,Bug,Poison,,,Shield Dust,This Pokemon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokemon.,40,35,30,20,20,50,195
Kakuna,14,30,Cocoon Pokemon,0.6,10,Bug,Poison,31,Level 7,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,,,,45,25,50,25,25,35,205
Beedrill,15,27,Poison Bee Pokemon,1,29.5,Bug,Poison,30,Level 10,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,,,Sniper,Powers up moves if they become critical hits when attacking.,65,90,40,45,80,75,395
Beedrill,15,28,Poison Bee Pokemon,1.4,40.5,Bug,Poison,,,Adaptability,Powers up moves of the same type as the Pokemon.,,,,,65,150,40,15,80,145,495
Pidgey,16,76,Tiny Bird Pokemon,0.3,1.8,Normal,Flying,,,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Tangled Feet,Raises evasiveness if the Pokemon is confused.,Big Pecks,Protects the Pokemon from Defense-lowering effects.,40,45,40,35,35,56,251
Pidgeotto,17,77,Bird Pokemon,1.1,30,Normal,Flying,76,Level 18,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Tangled Feet,Raises evasiveness if the Pokemon is confused.,Big Pecks,Protects the Pokemon from Defense-lowering effects.,63,60,55,50,50,71,349
Pidgeot,18,78,Bird Pokemon,1.5,39.5,Normal,Flying,77,Level 36,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Tangled Feet,Raises evasiveness if the Pokemon is confused.,Big Pecks,Protects the Pokemon from Defense-lowering effects.,83,80,75,70,70,101,479
Pidgeot,18,79,Bird Pokemon,2.2,50.5,Normal,Flying,,,No Guard,The Pokemon employs no-guard tactics to ensure incoming and outgoing attacks always land.,,,,,83,80,80,135,80,121,579
Rattata,19,80,Mouse Pokemon,0.3,3.5,Normal,,,,Run Away,Enables a sure getaway from wild Pokemon.,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",30,56,35,25,35,72,253
Rattata,19,81,Mouse Pokemon,0.3,3.8,Dark,Normal,,,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",30,56,35,25,35,72,253
Raticate,20,82,Mouse Pokemon,0.7,18.5,Normal,,80,Level 20,Run Away,Enables a sure getaway from wild Pokemon.,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Hustle,"Boosts the Attack stat, but lowers accuracy.",55,81,60,50,70,97,413
Raticate,20,83,Mouse Pokemon,0.7,25.5,Dark,Normal,81,Level 20,Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Hustle,"Boosts the Attack stat, but lowers accuracy.",Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",75,71,70,40,80,77,413
Spearow,21,84,Tiny Bird Pokemon,0.3,2,Normal,Flying,,,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,40,60,30,31,31,70,262
Fearow,22,85,Beak Pokemon,1.2,38,Normal,Flying,84,Level 20,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,,,Sniper,Powers up moves if they become critical hits when attacking.,65,90,65,61,61,100,442
